Age (kyr)	VADM (10^22 Am^2)	Standard error (10^22 Am^2)
621	8.4660717	0.4566861
622	10.04274	0.61144502
623	9.6250362	0.54712821
624	9.4771879	0.63220975
625	11.163176	0.94033316
626	12.801642	0.9969545
627	9.9889643	0.99361653
628	8.1545709	1.4213899
629	8.8126123	0.95345787
630	8.4701326	1.0421518
631	8.0563625	0.96257066
632	8.0549717	0.98494697
633	7.5434056	1.0205524
634	6.8296688	1.0646257
635	6.7337137	1.247603
636	7.5879225	1.1106118
637	7.5927504	0.84950506
638	7.3464247	0.76337895
639	8.7566849	0.69459375
640	7.7748803	0.55943874
641	7.6349396	0.75553824
642	8.8388002	0.85146362
643	10.339695	0.76702993
644	11.126405	0.7796921
645	11.244466	0.8039658
646	11.414366	0.90954843
647	10.304282	1.0126187
648	10.190266	1.0897619
649	10.47826	0.89012625
650	11.974441	0.73159509
651	11.594103	0.59933052
652	12.946079	1.2100916
653	12.073066	0.76998727
654	12.10987	0.74282313
655	14.59839	0.99300732
656	14.658985	0.86762188
657	16.669837	0.99316973
658	13.656775	0.56530263
659	12.813272	0.50945041
660	13.804149	1.1730376
661	12.960903	0.27546855
662	12.708307	0.49006329
663	12.663845	0.32943543
664	14.088776	0.68310385
665	13.486897	0.65851249
666	13.078979	0.67860863
667	13.197773	1.5247339
668	12.967042	0.46816741
669	12.299659	0.46929998
670	13.449049	0.86556995
671	11.351992	0.4625389
672	12.652992	0.63270342
673	10.960637	0.90470264
674	10.904019	0.98968652
675	10.659612	0.37662421
676	8.7554579	0.77141425
677	7.5460825	0.73953202
678	8.8010798	0.50603839
679	7.6148499	0.55339741
680	6.0675973	0.60912014
681	5.5887127	0.69810951
682	4.4806823	0.98283923
683	4.0606419	0.99041664
684	4.0941064	0.92927289
685	3.9730144	0.94048841
686	4.3537497	0.87721188
687	6.6635845	1.0429416
688	6.1132943	0.30759955
689	7.4223545	0.38357166
690	9.3320487	0.4874626
691	9.2986382	0.45674656
692	8.6243052	0.72638763
693	8.2058224	1.0046557
694	8.0201371	1.1684605
695	8.5832669	1.0948016
696	6.1039347	1.0303041
697	5.9087041	0.67767782
698	4.957535	0.64673498
699	4.4914564	0.75658854
700	4.1058761	0.65547144
701	4.1713823	0.556984
702	4.2707827	0.5962791
703	5.6121114	0.56195429
704	5.4330909	0.58402473
705	5.6146584	0.67298585
706	5.4729037	0.77446962
707	5.4821316	0.81433279
708	5.8660711	0.80435501
709	6.139318	0.79341709
710	6.1668918	0.85075568
711	6.5232349	0.9175841
712	6.4540369	0.96648207
713	6.36001	0.88228949
714	6.583494	0.70106721
715	7.0311091	0.59187975
716	6.504912	0.69245024
717	8.0762333	1.1496726
718	8.7019095	0.51957914
719	9.7339397	1.4758627
720	9.6595954	0.59117538
721	11.125678	0.66402939
722	10.609537	0.93000624
723	9.4782622	0.92421317
724	9.8406949	1.1634484
725	9.5210856	1.0264593
726	9.1511949	0.67695234
727	8.4981796	0.44453762
728	8.0502693	0.30552297
729	6.4331001	0.39081603
730	6.1632118	0.43082015
731	5.3808478	0.60687717
732	5.6341954	0.57830822
733	6.4776867	0.63045116
734	6.3231592	0.69285197
735	6.0347181	0.80655791
736	6.6691737	0.87466914
737	7.0668043	0.86480691
738	8.0044525	0.83751327
739	8.8739385	0.78818709
740	10.264237	1.1057667
741	10.259507	1.0601963
742	9.3174762	0.98374357
743	8.3060777	1.1126809
744	7.3678466	1.2759716
745	9.6699906	1.1570196
746	11.081506	1.4997297
747	8.6861157	0.52311959
748	9.4706361	0.52876312
749	12.380302	1.5202597
750	12.148404	1.2735856
751	11.607142	1.0839542
752	11.263293	1.0855554
753	12.016842	1.043832
754	10.3919	0.80987012
755	11.153453	1.1480957
756	10.432834	0.96790011
757	9.9025674	0.97503609
758	7.2881001	0.75425829
759	6.9581188	0.93901922
760	7.1664361	0.9786005
761	6.5654083	0.86879452
762	6.797408	0.84089166
763	7.2033873	0.80742003
764	6.1230464	0.97071222
765	5.4812713	0.94415692
766	4.4255076	0.5171702
767	2.9457549	0.54307049
768	2.4373398	0.52980089
769	2.0805839	0.55942013
770	2.2473714	0.54385427
771	2.0492718	0.54404781
772	2.3861094	0.60306557
773	1.852893	0.64823422
774	1.5397585	0.65000283
775	1.4105468	0.7288996
776	1.5484084	0.55114229
777	2.0525451	0.38657408
778	2.7279087	0.3939662
779	3.4564273	0.15280672
780	4.1943861	0.2895142
781	4.4173238	0.4264047
782	3.9180827	0.58228009
783	4.3723856	0.73854648
784	5.7383028	0.71574447
785	6.0076874	0.90843518
786	6.4739477	1.1168953
787	6.0855764	0.96261323
788	5.3867114	0.64146062
789	4.3026703	0.39754027
790	3.6702223	0.53101967
791	4.8373881	1.5866414
792	1.9595141	0.88733883
793	1.8216632	1.1242219
794	1.6195607	0.98905012
795	2.4191851	1.1069948
796	2.7166689	0.41702004
797	3.3831466	0.35036555
798	4.9101077	0.44778795
799	6.1160767	0.75005962
800	7.8367999	1.375821
801	7.4502706	1.0806334
802	8.1925253	1.2145893
803	8.1791287	0.99122654
804	9.694147	1.4522859
805	11.65046	1.5692246
806	11.970194	1.4756406
807	11.95258	1.6182245
808	10.946145	1.2622073
809	11.579411	1.0913087
810	11.538809	1.0667936
811	11.187147	1.1211108
812	10.066367	1.0566266
813	9.8146773	0.6404851
814	10.618811	1.1993153
815	9.7555222	0.9713733
816	9.2325403	0.94188964
817	8.1857466	0.58380509
818	7.5134457	0.488627
819	6.7093645	0.48605601
820	5.8797331	0.59295007
821	4.6870833	0.58547497
822	5.466721	0.61482126
823	6.9330703	0.84796396
824	7.554267	0.50231157
825	7.8943811	0.85706745
826	8.9269228	0.72974241
827	9.4585867	0.90434491
828	9.5026954	0.9865174
829	8.9193064	1.0436059
830	7.6726689	0.65945511
831	6.7315444	0.48758458
832	6.8417807	0.58050075
833	6.1834013	0.36629765
834	6.4280468	0.25150525
835	7.3296757	0.69810844
836	7.3643261	0.73543423
837	7.2524028	0.52476872
838	6.884021	0.5369705
839	5.8232949	0.52799221
840	5.4833519	0.65246687
841	5.400054	0.71287012
842	6.0510298	0.59423324
843	6.2726755	0.51939098
844	5.8183128	0.67646082
845	7.0598201	0.55133904
846	8.2783498	0.20739301
847	8.766349	0.43754223
848	9.5539852	0.38167391
849	11.869762	1.0456003
850	10.295632	0.33880364
851	10.184397	0.31363444
852	8.4698303	0.80319883
853	8.0955131	0.61904175
854	7.1776508	0.64346569
855	6.7248016	0.70448388
856	6.5932396	0.74477203
857	6.0087248	1.0060494
858	7.5782284	0.77433619
859	7.2763286	0.66052615
860	7.628992	0.51460349
861	7.5189	0.58687834
862	6.4488459	0.68709396
863	5.3059823	0.92446537
864	5.4962305	0.98215382
865	5.2086815	0.78676655
866	5.7659198	0.74182828
867	6.6810839	0.51431159
868	7.6405738	0.78063257
869	7.240839	0.89631675
870	7.4294024	0.68483347
871	8.0632463	0.84644576
872	6.7778692	0.54681377
873	5.5968721	0.30064698
874	4.9542811	0.39546472
875	4.1604791	0.41293764
876	3.5927435	0.66663329
877	4.1890087	0.65865272
878	4.4746667	0.50557406
879	4.3098646	0.35948613
880	4.71493	0.9280051
881	4.3538642	0.75530822
882	3.4727791	0.55887925
883	3.6471455	0.58983747
884	2.9901813	0.66423186
885	2.8670188	0.48387636
886	3.0650719	0.41505324
887	2.6667621	0.43402433
888	2.4137154	0.40103635
889	2.9331164	0.76020124
890	2.6200213	0.15318999
891	3.2738389	0.49590858
892	3.3864484	0.32923943
893	3.4308855	0.28640046
894	4.0679153	0.74580802
895	6.0474847	1.0293
896	5.4113113	0.64402089
897	6.3869602	0.77460412
898	8.0171297	1.3225809
899	8.1139086	1.0956923
900	8.0442155	0.83131275
901	7.6752334	0.77290098
902	8.3624447	0.89512623
903	8.5084078	1.196509
904	10.1135	1.1640908
905	11.215579	1.2023929
906	12.479726	1.5931753
907	11.736712	1.1788854
908	9.6757218	0.90704075
909	9.4353526	0.88145598
910	9.3509089	0.74472267
911	9.1997723	0.83373744
912	8.2205537	0.84527742
913	8.5646206	1.0576021
914	7.2527074	0.83212766
915	6.4258736	0.83121724
916	6.0150137	0.91306062
917	5.614007	0.86280721
918	5.955436	0.98555761
919	6.7745263	1.6175681
920	4.9383064	0.7163891
921	5.248691	0.8281769
922	4.6423933	1.0458328
923	3.8234616	0.36863791
924	5.0626572	1.0330511
925	2.6920106	0.5348277
926	1.5064181	0.34435023
927	2.1432902	0.30205106
928	2.5822844	0.34678006
929	2.0063801	0.45214974
930	1.6688414	0.46980438
931	2.2561572	0.43620111
932	3.3272622	0.78753817
933	5.9045813	1.5515642
934	5.010671	1.0846142
935	2.6550107	0.31088429
936	2.3024259	0.30833604
937	3.7760292	0.77909398
938	4.3983535	0.37831949
939	6.6588689	0.7993418
940	8.3175698	1.1552335
941	8.3185124	1.2212949
942	7.6088887	0.83038444
943	8.2643376	1.0221747
944	8.2684776	0.90746824
945	7.7043039	1.0992825
946	7.2502539	0.96078703
947	6.8769622	1.0914021
948	6.5400535	1.044809
949	6.1381654	0.95702694
950	7.0028532	0.88747691
951	7.2849064	0.81501677
952	6.538188	0.78422811
953	7.4521382	0.71951422
954	8.2629671	0.97710412
955	8.1023475	1.1409687
956	7.3068846	0.96380018
957	6.8685584	0.87904632
958	7.4273302	0.48299993
959	7.4487701	0.39520966
960	8.7702536	0.82711409
961	10.32112	1.7065879
962	8.3748493	0.90803596
